0,1,256.00,260.00,288.00,227.00,1,-1,-1,-1
5,3,235.00,265.00,268.00,232.00,1,-1,-1,-1
5,2,240.00,282.00,268.00,265.00,1,-1,-1,-1
25,5,155.12,281.05,192.82,243.77,1,-1,-1,-1
30,5,140.17,284.22,177.03,247.64,1,-1,-1,-1
35,5,125.67,291.02,163.85,253.34,1,-1,-1,-1
40,5,113.73,295.23,152.54,257.07,1,-1,-1,-1
45,5,103.93,298.44,143.17,259.66,1,-1,-1,-1
50,5,95.60,300.98,134.97,262.24,1,-1,-1,-1
55,5,88.52,302.95,128.38,263.82,1,-1,-1,-1
60,5,82.87,303.68,122.62,264.75,1,-1,-1,-1
65,5,78.09,303.81,118.08,264.96,1,-1,-1,-1
70,5,74.83,305.57,115.36,266.43,1,-1,-1,-1
75,5,72.75,307.52,113.95,268.16,1,-1,-1,-1
80,5,71.51,309.33,113.21,269.52,1,-1,-1,-1
85,5,71.10,309.48,112.78,269.73,1,-1,-1,-1
90,5,71.37,311.26,113.37,271.22,1,-1,-1,-1
95,5,72.33,313.39,114.50,273.47,1,-1,-1,-1
100,5,72.84,313.26,115.16,273.14,1,-1,-1,-1
105,5,73.35,313.66,116.09,273.08,1,-1,-1,-1
110,5,73.81,313.84,117.13,272.91,1,-1,-1,-1
115,5,73.84,313.24,117.27,272.10,1,-1,-1,-1
120,5,73.78,313.82,116.97,272.85,1,-1,-1,-1
125,5,73.91,313.96,116.92,273.13,1,-1,-1,-1
130,5,73.62,313.96,116.78,273.21,1,-1,-1,-1
135,5,74.04,313.90,117.01,273.23,1,-1,-1,-1
140,5,74.32,313.17,117.14,272.57,1,-1,-1,-1
145,5,74.99,312.84,117.42,272.31,1,-1,-1,-1
150,5,75.38,312.87,117.51,272.67,1,-1,-1,-1
155,5,75.15,313.08,117.37,272.55,1,-1,-1,-1
160,5,75.12,312.92,117.37,272.72,1,-1,-1,-1
165,5,75.14,313.24,117.43,273.00,1,-1,-1,-1
170,5,75.19,313.36,117.49,273.09,1,-1,-1,-1
175,5,75.24,313.39,117.56,273.10,1,-1,-1,-1
180,5,75.76,312.73,117.80,272.44,1,-1,-1,-1
185,5,76.22,312.47,118.34,272.17,1,-1,-1,-1
